#Depth	Raw_Count	Unique_Kmers
1100	1163641	1058
1101	1096336	996
1102	1164307	1057
1103	1069340	969
1104	1110753	1006
1105	1064099	963
1106	1078138	975
1107	1117245	1009
1108	1078857	974
1109	1136087	1024
1110	1127487	1016
1111	1083053	975
1112	1150731	1035
1113	1070825	962
1114	1066019	957
1115	1097932	985
1116	1041126	933
1117	1100003	985
1118	1094090	979
1119	1070738	957
1120	1112202	993
1121	1170883	1044
1122	1076871	960
1123	1093783	974
1124	1150343	1023
1125	1082492	962
1126	1094542	972
1127	1120593	994
1128	1055283	936
1129	1097514	972
1130	1045042	925
1131	1149904	1017
1132	1062059	938
1133	1021858	902
1134	1098454	969
1135	1051973	927
1136	1075016	946
1137	1018857	896
1138	1029007	904
1139	1100730	966
1140	1014492	890
1141	1096454	961
1142	1140887	999
1143	1089050	953
1144	980933	857
1145	1068118	933
1146	1067846	932
1147	1021239	890
1148	1077050	938
1149	1089629	948
1150	1057121	919
1151	1011969	879
1152	995953	865
1153	1057868	917
1154	979807	849
1155	1080797	936
1156	1044918	904
1157	1104603	955
1158	1009701	872
1159	1091678	942
1160	1055257	910
1161	1017613	876
1162	1049876	904
1163	985645	848
1164	997166	857
1165	979984	841
1166	1054833	905
1167	967838	829
1168	1085390	929
1169	1108239	948
1170	1059339	905
1171	1080284	923
1172	1017162	868
1173	1000422	853
1174	1019256	868
1175	1041256	886
1176	1007082	856
1177	1014752	862
1178	1052012	893
1179	1062137	901
1180	1049882	890
1181	1014470	859
1182	1078781	913
1183	1013688	857
1184	1003287	847
1185	1077261	909
1186	1065171	898
1187	1034588	872
1188	1007559	848
1189	1041092	876
1190	994293	836
1191	1054304	885
1192	1018819	855
1193	948031	795
1194	968490	811
1195	1004018	840
1196	970279	811
1197	928569	776
1198	964594	805
1199	1021351	852
1200	942134	785
1201	970335	808
1202	952910	793
1203	983936	818
1204	1038880	863
1205	972511	807
1206	980597	813
1207	992000	822
1208	1024325	848
1209	875683	724
1210	1030627	852
1211	956968	790
1212	969099	800
1213	986969	814
1214	959741	791
1215	944207	777
1216	924147	760
1217	983762	808
1218	1052757	864
1219	995349	817
1220	1003722	823
1221	922456	755
1222	983630	805
1223	970769	794
1224	1023965	837
1225	987106	806
1226	954454	779
1227	979719	798
1228	961238	783
1229	942187	767
1230	965724	785
1231	962606	782
1232	929301	754
1233	883313	716
1234	956966	775
1235	994873	806
1236	993059	803
1237	962978	778
1238	1003180	810
1239	962645	777
1240	913520	737
1241	938689	756
1242	984136	792
1243	1002957	807
1244	949012	763
1245	905802	728
1246	897414	720
1247	935000	750
1248	958301	768
1249	864940	693
1250	954833	764
1251	915679	732
1252	959576	766
1253	943997	753
1254	888135	708
1255	905204	721
1256	956039	761
1257	908062	722
1258	1021692	812
1259	961822	764
1260	925632	735
1261	855450	678
1262	942728	747
1263	917543	726
1264	927940	734
1265	925605	732
1266	858016	678
1267	928796	733
1268	959510	757
1269	923594	728
1270	885740	697
1271	969604	763
1272	947363	745
1273	930385	731
1274	950256	746
1275	953745	748
1276	912508	715
1277	887166	695
1278	848506	664
1279	910402	712
1280	921656	720
1281	939316	733
1282	922384	719
1283	903671	704
1284	895020	697
1285	924607	720
1286	920015	715
1287	908099	706
1288	841195	653
1289	899523	698
1290	893413	693
1291	975005	755
1292	964172	746
1293	970121	750
1294	857871	663
1295	898825	694
1296	882133	681
1297	880731	679
1298	911629	702
1299	894908	689
1300	926900	713
1301	928983	714
1302	884782	680
1303	866013	665
1304	904548	694
1305	907785	696
1306	858807	658
1307	919967	704
1308	895686	685
1309	844067	645
1310	924088	705
1311	875586	668
1312	843724	643
1313	891269	679
1314	914079	696
1315	829251	631
1316	850953	647
1317	870720	661
1318	920062	698
1319	961951	729
1320	872574	661
1321	842210	638
1322	876221	663
1323	874096	661
1324	820259	620
1325	879194	664
1326	853945	644
1327	871500	657
1328	895955	675
1329	889908	670
1330	831684	625
1331	897432	674
1332	844258	634
1333	843001	632
1334	840477	630
1335	820715	615
1336	902155	675
1337	840125	628
1338	858106	641
1339	855659	639
1340	845504	631
1341	856206	638
1342	804135	599
1343	848583	632
1344	841860	626
1345	775686	577
1346	878351	653
1347	882078	655
1348	817759	607
1349	875871	649
1350	832214	616
1351	850920	630
1352	786029	581
1353	858744	635
1354	842622	622
1355	875884	646
1356	857106	632
1357	851608	628
1358	828582	610
1359	848546	624
1360	790654	581
1361	826276	607
1362	814848	598
1363	836570	614
1364	875284	642
1365	852899	625
1366	829459	607
1367	911493	667
1368	807045	590
1369	825754	603
1370	829711	606
1371	829363	605
1372	836478	610
1373	810451	590
1374	820301	597
1375	870141	633
1376	844264	614
1377	901849	655
1378	815997	592
1379	831907	603
1380	846482	613
1381	813456	589
1382	867320	628
1383	809516	585
1384	809113	585
1385	782897	565
1386	861523	622
1387	783171	565
1388	901451	649
1389	845434	609
1390	862133	620
1391	847844	610
1392	781818	562
1393	848346	609
1394	814264	584
1395	817357	586
1396	779715	559
1397	819978	587
1398	893194	639
1399	772135	552
1400	758993	542
1401	828966	592
1402	816976	583
1403	832890	594
1404	795699	567
1405	821910	585
1406	861987	613
1407	750441	533
1408	783325	556
1409	806122	572
1410	783277	556
1411	793613	562
1412	730484	517
1413	882572	625
1414	759949	537
1415	818641	579
1416	822649	581
1417	792986	560
1418	830992	586
1419	715394	504
1420	815594	574
1421	782457	551
1422	869113	611
1423	758189	533
1424	872325	613
1425	813194	571
1426	761699	534
1427	808313	566
1428	818666	573
1429	790722	553
1430	798028	558
1431	834744	583
1432	771980	539
1433	766703	535
1434	764589	533
1435	794591	554
1436	784050	546
1437	818641	570
1438	767439	534
1439	779555	542
1440	782498	543
1441	791844	550
1442	841290	583
1443	801382	555
1444	747741	518
1445	819531	567
1446	714224	494
1447	787045	544
1448	772157	533
1449	815435	563
1450	854254	589
1451	742743	512
1452	792128	546
1453	748606	515
1454	752258	517
1455	773981	532
1456	788175	541
1457	824559	566
1458	774399	531
1459	787669	540
1460	804865	551
1461	749043	513
1462	722861	494
1463	812371	555
1464	810140	553
1465	754208	515
1466	762642	520
1467	779560	531
1468	805684	549
1469	797637	543
1470	820609	558
1471	774915	527
1472	733342	498
1473	804499	546
1474	695775	472
1475	821279	557
1476	776421	526
1477	777727	527
1478	706931	478
1479	744135	503
1480	800056	541
1481	719126	486
1482	726168	490
1483	731102	493
1484	737480	497
1485	821283	553
1486	731624	492
1487	797407	536
1488	799767	537
1489	749876	504
1490	735747	494
1491	726010	487
1492	780464	523
1493	760083	509
1494	772282	517
1495	755864	506
1496	709316	474
1497	798903	534
1498	716973	479
1499	735291	491
1500	746560	498
1501	735512	490
1502	715534	476
1503	742974	494
1504	794074	528
1505	766983	510
1506	735843	489
1507	778983	517
1508	746748	495
1509	716223	475
1510	774108	513
1511	753153	498
1512	755408	500
1513	730138	483
1514	704006	465
1515	706864	467
1516	784950	518
1517	733065	483
1518	710185	468
1519	694653	457
1520	742489	488
1521	729288	479
1522	774578	509
1523	772207	507
1524	763348	501
1525	699621	459
1526	691718	453
1527	670901	439
1528	715297	468
1529	723820	473
1530	737457	482
1531	711497	465
1532	722124	471
1533	704812	460
1534	758520	494
1535	809965	528
1536	654135	426
1537	721558	469
1538	731513	476
1539	739432	480
1540	765507	497
1541	701012	455
1542	671029	435
1543	643914	417
1544	679002	440
1545	713745	462
1546	626920	406
1547	721295	466
1548	687795	444
1549	676225	437
1550	705651	455
1551	729012	470
1552	681552	439
1553	728925	469
1554	647953	417
1555	683744	440
1556	727248	467
1557	669451	430
1558	735744	472
1559	687976	441
1560	708600	454
1561	760145	487
1562	773251	495
1563	712058	456
