#Depth	Raw_Count	Unique_Kmers
661	9506881	14383
662	9497714	14347
663	9540184	14389
664	9465338	14255
665	9420220	14166
666	9441376	14176
667	9397634	14089
668	9376749	14037
669	9405552	14059
670	9373886	13991
671	9427483	14050
672	9602145	14289
673	9120584	13552
674	9399032	13945
675	9531459	14121
676	9388828	13889
677	9346909	13806
678	9308242	13729
679	9440784	13904
680	9312745	13695
681	9376156	13768
682	9106385	13352
683	9204735	13477
684	9193828	13441
685	9207573	13442
686	9218357	13438
687	9266996	13489
688	9383920	13639
689	9252126	13428
690	9233158	13381
691	9136342	13222
692	9264947	13389
693	9239544	13333
694	9107298	13123
695	9142397	13155
696	9227362	13258
697	9057111	12994
698	9121419	13068
699	8942827	12794
700	8957085	12796
701	8903008	12700
702	8939293	12734
703	8799991	12518
704	8850956	12572
705	8692099	12329
706	8913311	12625
707	8851083	12519
708	8826860	12467
709	8791921	12400
710	8795177	12388
711	8662211	12183
712	8643022	12139
713	8855115	12420
714	8672427	12146
715	8549013	11957
716	8721636	12181
717	8761219	12219
718	8663873	12067
719	8729956	12142
720	8606750	11954
721	8615078	11949
722	8666523	12003
723	8691103	12021
724	8596751	11874
725	8567974	11818
726	8638401	11899
727	8636984	11880
728	8666492	11905
729	8502794	11664
730	8629327	11821
731	8422049	11521
732	8526710	11649
733	8757671	11948
734	8491305	11569
735	8494400	11557
736	8303705	11282
737	8763643	11891
738	8757298	11866
739	8448539	11432
740	8513769	11505
741	8546550	11534
742	8535839	11504
743	8456064	11381
744	8511136	11440
745	8424515	11308
746	8372521	11223
747	8501835	11381
748	8414237	11249
749	8432207	11258
750	8327459	11103
751	8472489	11282
752	8477269	11273
753	8478849	11260
754	8248193	10939
755	8404616	11132
756	8312776	10996
757	8196012	10827
758	8216476	10840
759	8259833	10883
760	8222556	10819
761	8295555	10901
762	8165079	10715
763	8115878	10637
764	8210017	10746
765	8142029	10643
766	8096215	10569
767	8140685	10614
768	8018575	10441
769	8091840	10523
770	8180315	10624
771	8191304	10624
772	8306583	10760
773	8034185	10394
774	8221701	10622
775	8201318	10582
776	8129863	10477
777	8229471	10591
778	8076326	10381
779	7948898	10204
780	8150215	10449
781	8101818	10374
782	7980341	10205
783	8069843	10306
784	8003969	10209
785	7981031	10167
786	8017350	10200
787	8134334	10336
788	8060855	10230
789	7911875	10028
790	7907629	10010
791	7972969	10080
792	7964750	10057
793	7939554	10012
794	7841937	9876
795	7803743	9816
796	7774588	9767
797	8001874	10040
798	7802280	9777
799	7745200	9694
800	7762449	9703
801	7736871	9659
802	7834159	9768
803	7802687	9717
804	7887103	9810
805	7799053	9688
806	7899203	9801
807	7791236	9655
808	7711144	9543
809	7867758	9725
810	7741415	9557
811	7981260	9841
812	7659210	9433
813	7765439	9552
814	7671845	9425
815	7689848	9435
816	7710158	9449
817	7593297	9294
818	7672907	9380
819	7674018	9370
820	7651374	9331
821	7737117	9424
822	7823052	9517
823	7552931	9177
824	7606426	9231
825	7555630	9158
826	7501694	9082
827	7691039	9300
828	7600228	9179
829	7401125	8928
830	7683689	9257
831	7699885	9266
832	7388273	8880
833	7544881	9057
834	7499620	8992
835	7410107	8874
836	7519327	8994
837	7417158	8862
838	7502523	8953
839	7362388	8775
840	7535209	8970
841	7358680	8750
842	7289688	8658
843	7384204	8759
844	7353410	8713
845	7538123	8921
846	7384651	8729
847	7397997	8734
848	7361003	8680
849	7395316	8711
850	7237863	8515
851	7318125	8599
852	7273059	8536
853	7390932	8665
854	7247417	8486
855	7169580	8385
856	7238253	8456
857	7251951	8462
858	7146805	8330
859	7179124	8358
860	7344265	8540
861	7320125	8502
862	7175797	8325
863	7128297	8260
864	7201999	8336
865	7240863	8371
866	7217836	8335
867	7194228	8298
868	7144160	8231
869	7238094	8329
870	7078667	8136
871	7122609	8178
872	7096611	8138
873	7219705	8270
874	7150533	8181
875	7206497	8236
876	7171135	8186
877	7243444	8259
878	7097518	8084
879	7332638	8342
880	7108676	8078
881	7125187	8088
882	7041213	7983
883	6930965	7849
884	6961275	7875
885	7089189	8010
886	7006679	7908
887	7006947	7900
888	7104305	8000
889	7086791	7972
890	7015803	7883
891	6816610	7651
892	7137347	8002
893	6990834	7828
894	7078930	7918
895	7087161	7919
896	6986196	7797
897	6962505	7762
898	6895491	7679
899	6948617	7729
900	6708022	7453
901	6988115	7756
902	6887715	7636
903	6895534	7636
904	6838050	7564
905	6840929	7559
906	6714542	7411
907	6758580	7452
908	6909127	7609
909	6964208	7661
910	6791191	7463
911	6769010	7430
912	6784685	7439
913	6799234	7447
914	6866408	7512
915	6790099	7421
916	6756011	7376
917	6817967	7435
918	6864698	7478
919	6685478	7275
920	6646760	7225
921	6812371	7397
922	6769711	7342
923	6802457	7370
924	6835976	7398
925	6795413	7346
926	6722467	7260
927	6802373	7338
928	6751075	7275
929	6800688	7320
930	6915207	7436
931	6903802	7415
932	6669523	7156
933	6776642	7263
934	6760868	7239
935	6824546	7299
936	6670691	7127
937	6660933	7109
938	6821494	7272
939	6606386	7036
940	6681131	7108
941	6915207	7349
942	6576381	6981
943	6712112	7118
944	6700541	7098
945	6447497	6823
946	6467380	6837
947	6595649	6965
948	6665671	7031
949	6571905	6925
950	6526854	6870
951	6801899	7152
952	6489139	6816
953	6580741	6905
954	6485697	6798
955	6682552	6997
956	6619747	6924
957	6675372	6975
958	6549105	6836
959	6515256	6794
960	6669790	6948
961	6621632	6890
962	6556488	6815
963	6641393	6897
964	6547248	6792
965	6638528	6879
966	6538338	6768
967	6541683	6765
968	6536875	6753
969	6446659	6653
970	6625499	6830
971	6564029	6760
972	6459855	6646
973	6498169	6678
974	6476647	6650
975	6498318	6665
976	6488820	6648
977	6444359	6596
978	6568527	6716
979	6426640	6564
980	6397286	6528
981	6565483	6693
982	6455939	6574
983	6368536	6479
984	6348705	6452
985	6469688	6568
986	6492996	6585
987	6298120	6381
988	6331366	6408
989	6504799	6577
990	6336887	6401
991	6365127	6423
992	6290751	6341
993	6299349	6344
994	6232178	6270
995	6165877	6197
996	6397285	6423
997	6359661	6379
998	6444754	6458
999	6347446	6354
1000	6185358	6185
1001	6203086	6197
1002	6421062	6408
1003	6261853	6243
1004	6098012	6074
1005	6242791	6212
1006	6194006	6157
1007	6322046	6278
1008	6159376	6110
1009	6284196	6228
1010	6246748	6185
1011	6188535	6121
1012	6077436	6005
1013	6202702	6123
1014	6126343	6042
1015	6088266	5998
1016	5984038	5890
1017	6202579	6099
1018	6122679	6014
1019	6031546	5919
1020	6105715	5986
1021	6138214	6012
1022	6144852	6013
1023	6004049	5869
1024	6122054	5979
1025	6057102	5909
1026	5912174	5762
1027	6050772	5892
1028	6015948	5852
1029	5993005	5824
1030	6018413	5843
1031	6160595	5975
1032	6127699	5938
1033	6166403	5969
1034	6094032	5894
1035	5978502	5776
1036	6041830	5832
1037	6017585	5803
1038	6188265	5962
1039	6014243	5788
1040	6125242	5890
1041	6007795	5771
1042	6066273	5822
1043	6169015	5915
1044	5999099	5746
1045	5988270	5730
1046	6074878	5808
1047	5918241	5653
1048	6018701	5743
1049	5998800	5719
1050	6047081	5759
1051	6005276	5714
1052	5918007	5625
1053	5939136	5640
1054	5984693	5678
1055	6014486	5701
1056	5935782	5621
1057	5953133	5632
1058	6171336	5833
1059	5943439	5612
1060	5978869	5640
1061	5934251	5593
1062	5955114	5607
1063	5702939	5365
1064	5841298	5490
1065	5743930	5393
1066	5796610	5438
1067	5761745	5400
1068	5945048	5567
1069	5830448	5454
1070	5618946	5251
1071	5853608	5466
1072	5667661	5287
1073	5859004	5460
1074	5801381	5402
1075	5875390	5465
1076	5712531	5309
1077	5730045	5320
1078	5764778	5348
1079	5866279	5437
1080	5741456	5316
1081	5831200	5394
1082	5847390	5404
1083	5800351	5356
1084	5760981	5315
1085	5753827	5303
1086	5598943	5156
1087	5769597	5308
1088	5737692	5274
1089	5696522	5231
1090	5677428	5209
1091	5649083	5178
1092	5626854	5153
1093	5679667	5196
1094	5634091	5150
1095	5633893	5145
1096	5647001	5152
1097	5670676	5169
1098	5766153	5252
1099	5884512	5354
1100	5709720	5191
1101	5617230	5102
1102	5698563	5171
1103	5634650	5108
1104	5628078	5098
1105	5633821	5098
1106	5841058	5281
1107	5827146	5264
1108	5675932	5123
