ANCSIZE,NPOP1,NPOP2,TDIV,MaxEstLhood,MaxObsLhood,MIGRATE,BOTSIZE,ENDBOT,STARTBOT,NENDBOT,SENDBOT,NSTRTBOT,SSTRTBOT,popset,pruned,model,mig,run,Lhood,k,aic
73455327,104719,112009,797,-33847.953,-15518.203,,452,831,905,,,,,ns,pruned,model1,no_mig,006,18329.75,7,155889.584012326
50287172,109587,106441,931,-33658.835,-15518.203,,474,954,1127,,,,,ns,pruned,model1,no_mig,002,18140.632,7,155018.663437093
37357647,104952,104239,2922,-31500.429,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,010,15982.226,4,145072.836476635
35752852,103442,105263,3187,-31290.059,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,005,15771.856,4,144104.046824608
57553406,102423,101970,3131,-31208.276,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,001,15690.073,4,143727.422191288
63636947,101695,103922,3143,-31172.086,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,002,15653.883,4,143560.761082257
31570434,101803,104865,3033,-31142.688,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,003,15624.485,4,143425.378289129
31747271,102632,104884,3240,-31106.926,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,009,15588.723,4,143260.688192938
49556615,102916,108115,3344,-31093.873,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,004,15575.67,4,143200.5769065
86310867,101056,110108,3337,-31089.173,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,008,15570.97,4,143178.932606626
33531594,105633,103187,3425,-30911.532,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,007,15393.329,4,142360.865569617
66488195,101760,103612,3453,-30739.028,-15518.203,,,,,,,,,ns,pruned,model0,no_mig,006,15220.825,4,141566.455291853
13662164,739927,157933,949,-23855.74,-15518.203,,622,,,123,135,322,349,ns,pruned,model4,no_mig,007,8337.537,9,109877.742612684
11442730,188644,131622,1184,-23855.178,-15518.203,,573,,,118,113,311,311,ns,pruned,model4,no_mig,002,8336.975,9,109875.154507039
11881699,418962,253918,1328,-23854.686,-15518.203,,698,,,81,119,307,376,ns,pruned,model4,no_mig,006,8336.483,9,109872.888763308
13639839,347343,168083,1739,-23854.548,-15518.203,,613,,,173,89,394,294,ns,pruned,model4,no_mig,001,8336.345,9,109872.253249822
86317107,647418,575189,289,-23853.609,-15518.203,,413,,,147,134,,,ns,pruned,model2,no_mig,001,8335.406,7,109863.928995017
